Date (UTC),1200061435370 (kWh),Type,1200061695248 (kWh),Type
24/02/2022 18:30,0,Actual,0,Actual
24/02/2022 19:00,0,Actual,0,Actual
24/02/2022 19:30,0,Actual,0,Actual
24/02/2022 20:00,0,Actual,0,Actual
24/02/2022 20:30,0,Actual,0,Actual
24/02/2022 21:00,0,Actual,0,Actual
24/02/2022 21:30,0,Actual,0,Actual
24/02/2022 22:00,0,Actual,0,Actual
24/02/2022 22:30,0,Actual,0,Actual
24/02/2022 23:00,0,Actual,0,Actual
24/02/2022 23:30,0,Actual,0,Actual
25/02/2022 00:00,0,Actual,0,Actual
25/02/2022 00:30,0,Actual,0,Actual
25/02/2022 01:00,0,Actual,0,Actual
25/02/2022 01:30,0,Actual,0,Actual
25/02/2022 02:00,0,Actual,0,Actual
25/02/2022 02:30,0,Actual,0,Actual
25/02/2022 03:00,0,Actual,0,Actual
25/02/2022 03:30,0,Actual,0,Actual
25/02/2022 04:00,0,Actual,0,Actual
25/02/2022 04:30,0,Actual,0,Actual
25/02/2022 05:00,0,Actual,0,Actual
25/02/2022 05:30,0,Actual,0,Actual
25/02/2022 06:00,0,Actual,0,Actual
25/02/2022 06:30,0,Actual,0,Actual
25/02/2022 07:00,0,Actual,0,Actual
25/02/2022 07:30,0,Actual,0,Actual
25/02/2022 08:00,0,Actual,0,Actual
25/02/2022 08:30,5.6,Actual,0,Actual
25/02/2022 09:00,35.1,Actual,0,Actual
25/02/2022 09:30,49.4,Actual,0,Actual
25/02/2022 10:00,54.7,Actual,0,Actual
25/02/2022 10:30,61,Actual,0,Actual
25/02/2022 11:00,56.9,Actual,0,Actual
25/02/2022 11:30,69.4,Actual,0,Actual
25/02/2022 12:00,64.5,Actual,0,Actual
25/02/2022 12:30,70.3,Actual,0,Actual
25/02/2022 13:00,45.4,Actual,0,Actual
25/02/2022 13:30,15.9,Actual,0,Actual
25/02/2022 14:00,12.6,Actual,0,Actual
25/02/2022 14:30,29.2,Actual,0,Actual
25/02/2022 15:00,0.4,Actual,0,Actual
25/02/2022 15:30,0.4,Actual,0,Actual
25/02/2022 16:00,0,Actual,0,Actual
25/02/2022 16:30,0,Actual,0,Actual
25/02/2022 17:00,0,Actual,0,Actual
25/02/2022 17:30,0,Actual,0,Actual
25/02/2022 18:00,0,Actual,0,Actual
25/02/2022 18:30,0,Actual,0,Actual
25/02/2022 19:00,0,Actual,0,Actual
25/02/2022 19:30,0,Actual,0,Actual
25/02/2022 20:00,0,Actual,0,Actual
25/02/2022 20:30,0,Actual,0,Actual
25/02/2022 21:00,0,Actual,0,Actual
25/02/2022 21:30,0,Actual,0,Actual
25/02/2022 22:00,0,Actual,0,Actual
25/02/2022 22:30,0,Actual,0,Actual
25/02/2022 23:00,0,Actual,0,Actual
25/02/2022 23:30,0,Actual,0,Actual
26/02/2022 00:00,0,Actual,0,Actual
26/02/2022 00:30,0,Actual,0,Actual
26/02/2022 01:00,0,Actual,0,Actual
26/02/2022 01:30,0,Actual,0,Actual
26/02/2022 02:00,0,Actual,0,Actual
26/02/2022 02:30,0,Actual,0,Actual
26/02/2022 03:00,0,Actual,0,Actual
26/02/2022 03:30,0,Actual,0,Actual
26/02/2022 04:00,0,Actual,0,Actual
26/02/2022 04:30,0,Actual,0,Actual
26/02/2022 05:00,0,Actual,0,Actual
26/02/2022 05:30,0,Actual,0,Actual
26/02/2022 06:00,0,Actual,0,Actual
26/02/2022 06:30,0,Actual,0,Actual
26/02/2022 07:00,0,Actual,0,Actual
26/02/2022 07:30,0,Actual,0,Actual
26/02/2022 08:00,0,Actual,0,Actual
26/02/2022 08:30,8.4,Actual,0,Actual
26/02/2022 09:00,38.7,Actual,0,Actual
26/02/2022 09:30,45.2,Actual,0,Actual
26/02/2022 10:00,64.8,Actual,0,Actual
26/02/2022 10:30,68.8,Actual,0,Actual
26/02/2022 11:00,63.6,Actual,0,Actual
26/02/2022 11:30,65.3,Actual,0,Actual
26/02/2022 12:00,55.7,Actual,0,Actual
26/02/2022 12:30,58.9,Actual,0,Actual
26/02/2022 13:00,59.6,Actual,0,Actual
26/02/2022 13:30,44.9,Actual,0,Actual
26/02/2022 14:00,34.3,Actual,0,Actual
26/02/2022 14:30,15.2,Actual,0,Actual
26/02/2022 15:00,4.3,Actual,0,Actual
26/02/2022 15:30,0.8,Actual,0,Actual
26/02/2022 16:00,0,Actual,0,Actual
26/02/2022 16:30,0,Actual,0,Actual
26/02/2022 17:00,0,Actual,0,Actual
26/02/2022 17:30,0,Actual,0,Actual
26/02/2022 18:00,0,Actual,0,Actual
26/02/2022 18:30,0,Actual,0,Actual
26/02/2022 19:00,0,Actual,0,Actual
26/02/2022 19:30,0,Actual,0,Actual
26/02/2022 20:00,0,Actual,0,Actual
26/02/2022 20:30,0,Actual,0,Actual
26/02/2022 21:00,0,Actual,0,Actual
26/02/2022 21:30,0,Actual,0,Actual
26/02/2022 22:00,0,Actual,0,Actual
26/02/2022 22:30,0,Actual,0,Actual
26/02/2022 23:00,0,Actual,0,Actual
26/02/2022 23:30,0,Actual,0,Actual
27/02/2022 00:00,0,Actual,0,Actual
27/02/2022 00:30,0,Actual,0,Actual
27/02/2022 01:00,0,Actual,0,Actual
27/02/2022 01:30,0,Actual,0,Actual
27/02/2022 02:00,0,Actual,0,Actual
27/02/2022 02:30,0,Actual,0,Actual
27/02/2022 03:00,0,Actual,0,Actual
27/02/2022 03:30,0,Actual,0,Actual
27/02/2022 04:00,0,Actual,0,Actual
27/02/2022 04:30,0,Actual,0,Actual
27/02/2022 05:00,0,Actual,0,Actual
27/02/2022 05:30,0,Actual,0,Actual
27/02/2022 06:00,0,Actual,0,Actual
27/02/2022 06:30,0,Actual,0,Actual
27/02/2022 07:00,0,Actual,0,Actual
27/02/2022 07:30,0,Actual,0,Actual
27/02/2022 08:00,0,Actual,0,Actual
27/02/2022 08:30,13.4,Actual,0,Actual
27/02/2022 09:00,46.1,Actual,0,Actual
27/02/2022 09:30,58.2,Actual,0,Actual
27/02/2022 10:00,67,Actual,0,Actual
27/02/2022 10:30,72.1,Actual,0,Actual
27/02/2022 11:00,74.6,Actual,0,Actual
27/02/2022 11:30,75.3,Actual,0,Actual
27/02/2022 12:00,72.4,Actual,0,Actual
27/02/2022 12:30,68,Actual,0,Actual
27/02/2022 13:00,58.5,Actual,0,Actual
27/02/2022 13:30,49.5,Actual,0,Actual
27/02/2022 14:00,38.3,Actual,0,Actual
27/02/2022 14:30,24.7,Actual,0,Actual
27/02/2022 15:00,9.4,Actual,0,Actual
27/02/2022 15:30,0,Actual,0,Actual
27/02/2022 16:00,0,Actual,0,Actual
27/02/2022 16:30,0,Actual,0,Actual
27/02/2022 17:00,0,Actual,0,Actual
27/02/2022 17:30,0,Actual,0,Actual
27/02/2022 18:00,0,Actual,0,Actual
27/02/2022 18:30,0,Actual,0,Actual
27/02/2022 19:00,0,Actual,0,Actual
27/02/2022 19:30,0,Actual,0,Actual
27/02/2022 20:00,0,Actual,0,Actual
27/02/2022 20:30,0,Actual,0,Actual
27/02/2022 21:00,0,Actual,0,Actual
27/02/2022 21:30,0,Actual,0,Actual
27/02/2022 22:00,0,Actual,0,Actual
27/02/2022 22:30,0,Actual,0,Actual
27/02/2022 23:00,0,Actual,0,Actual
27/02/2022 23:30,0,Actual,0,Actual
28/02/2022 00:00,0,Actual,0,Actual
28/02/2022 00:30,0,Actual,0,Actual
28/02/2022 01:00,0,Actual,0,Actual
28/02/2022 01:30,0,Actual,0,Actual
28/02/2022 02:00,0,Actual,0,Actual
28/02/2022 02:30,0,Actual,0,Actual
28/02/2022 03:00,0,Actual,0,Actual
28/02/2022 03:30,0,Actual,0,Actual
28/02/2022 04:00,0,Actual,0,Actual
28/02/2022 04:30,0,Actual,0,Actual
28/02/2022 05:00,0,Actual,0,Actual
28/02/2022 05:30,0,Actual,0,Actual
28/02/2022 06:00,0,Actual,0,Actual
28/02/2022 06:30,0,Actual,0,Actual
28/02/2022 07:00,0,Actual,0,Actual
28/02/2022 07:30,0,Actual,0,Actual
28/02/2022 08:00,0.9,Actual,0,Actual
28/02/2022 08:30,9.4,Actual,0,Actual
28/02/2022 09:00,15.3,Actual,0,Actual
28/02/2022 09:30,43.6,Actual,0,Actual
28/02/2022 10:00,37.8,Actual,0,Actual
28/02/2022 10:30,15.3,Actual,0,Actual
28/02/2022 11:00,0.9,Actual,0,Actual
28/02/2022 11:30,3.5,Actual,0,Actual
28/02/2022 12:00,16.3,Actual,0,Actual
28/02/2022 12:30,22.6,Actual,0,Actual
28/02/2022 13:00,7.7,Actual,0,Actual
28/02/2022 13:30,8.4,Actual,0,Actual
28/02/2022 14:00,0.8,Actual,0,Actual
28/02/2022 14:30,0,Actual,0,Actual
28/02/2022 15:00,0.6,Actual,0,Actual
28/02/2022 15:30,0,Actual,0,Actual
28/02/2022 16:00,0,Actual,0,Actual
28/02/2022 16:30,0,Actual,0,Actual
28/02/2022 17:00,0,Actual,0,Actual
28/02/2022 17:30,0,Actual,0,Actual
28/02/2022 18:00,0,Actual,0,Actual
28/02/2022 18:30,0,Actual,0,Actual
28/02/2022 19:00,0,Actual,0,Actual
28/02/2022 19:30,0,Actual,0,Actual
28/02/2022 20:00,0,Actual,0,Actual
28/02/2022 20:30,0,Actual,0,Actual
28/02/2022 21:00,0,Actual,0,Actual
28/02/2022 21:30,0,Actual,0,Actual
28/02/2022 22:00,0,Actual,0,Actual
28/02/2022 22:30,0,Actual,0,Actual
28/02/2022 23:00,0,Actual,0,Actual
28/02/2022 23:30,0,Actual,0,Actual
01/03/2022 00:00,0,Actual,0,Actual
01/03/2022 00:30,0,Actual,0,Actual
01/03/2022 01:00,0,Actual,0,Actual
01/03/2022 01:30,0,Actual,0,Actual
01/03/2022 02:00,0,Actual,0,Actual
01/03/2022 02:30,0,Actual,0,Actual
01/03/2022 03:00,0,Actual,0,Actual
01/03/2022 03:30,0,Actual,0,Actual
01/03/2022 04:00,0,Actual,0,Actual
01/03/2022 04:30,0,Actual,0,Actual
01/03/2022 05:00,0,Actual,0,Actual
01/03/2022 05:30,0,Actual,0,Actual
01/03/2022 06:00,0,Actual,0,Actual
01/03/2022 06:30,0,Actual,0,Actual
01/03/2022 07:00,0,Actual,0,Actual
01/03/2022 07:30,0,Actual,0,Actual
01/03/2022 08:00,0,Actual,0,Actual
01/03/2022 08:30,0,Actual,0,Actual
01/03/2022 09:00,0,Actual,0,Actual
01/03/2022 09:30,0,Actual,0,Actual
01/03/2022 10:00,0,Actual,0,Actual
01/03/2022 10:30,0,Actual,0,Actual
01/03/2022 11:00,0,Actual,0,Actual
01/03/2022 11:30,0,Actual,0,Actual
01/03/2022 12:00,0,Actual,0,Actual
01/03/2022 12:30,0,Actual,0,Actual
01/03/2022 13:00,0,Actual,0,Actual
01/03/2022 13:30,0,Actual,0,Actual
01/03/2022 14:00,0,Actual,0,Actual
01/03/2022 14:30,0,Actual,0,Actual
01/03/2022 15:00,0,Actual,0,Actual
01/03/2022 15:30,0,Actual,0,Actual
01/03/2022 16:00,0,Actual,0,Actual
01/03/2022 16:30,0,Actual,0,Actual
01/03/2022 17:00,0,Actual,0,Actual
01/03/2022 17:30,0,Actual,0,Actual
01/03/2022 18:00,0,Actual,0,Actual
01/03/2022 18:30,0,Actual,0,Actual
01/03/2022 19:00,0,Actual,0,Actual
01/03/2022 19:30,0,Actual,0,Actual
01/03/2022 20:00,0,Actual,0,Actual
01/03/2022 20:30,0,Actual,0,Actual
01/03/2022 21:00,0,Actual,0,Actual
01/03/2022 21:30,0,Actual,0,Actual
01/03/2022 22:00,0,Actual,0,Actual
01/03/2022 22:30,0,Actual,0,Actual
01/03/2022 23:00,0,Actual,0,Actual
01/03/2022 23:30,0,Actual,0,Actual
02/03/2022 00:00,0,Actual,0,Actual
02/03/2022 00:30,0,Actual,0,Actual
02/03/2022 01:00,0,Actual,0,Actual
02/03/2022 01:30,0,Actual,0,Actual
02/03/2022 02:00,0,Actual,0,Actual
02/03/2022 02:30,0,Actual,0,Actual
02/03/2022 03:00,0,Actual,0,Actual
02/03/2022 03:30,0,Actual,0,Actual
02/03/2022 04:00,0,Actual,0,Actual
02/03/2022 04:30,0,Actual,0,Actual
02/03/2022 05:00,0,Actual,0,Actual
02/03/2022 05:30,0,Actual,0,Actual
02/03/2022 06:00,0,Actual,0,Actual
02/03/2022 06:30,0,Actual,0,Actual
02/03/2022 07:00,0,Actual,0,Actual
02/03/2022 07:30,0,Actual,0,Actual
02/03/2022 08:00,0,Actual,0,Actual
02/03/2022 08:30,0,Actual,0,Actual
02/03/2022 09:00,0,Actual,0,Actual
02/03/2022 09:30,0,Actual,0,Actual
02/03/2022 10:00,0,Actual,0,Actual
02/03/2022 10:30,0,Actual,0,Actual
02/03/2022 11:00,0,Actual,0,Actual
02/03/2022 11:30,0.3,Actual,0,Actual
02/03/2022 12:00,1.4,Actual,0,Actual
02/03/2022 12:30,4.3,Actual,0,Actual
02/03/2022 13:00,17,Actual,0,Actual
02/03/2022 13:30,0,Actual,0,Actual
02/03/2022 14:00,0,Actual,0,Actual
02/03/2022 14:30,0,Actual,0,Actual
02/03/2022 15:00,0,Actual,0,Actual
02/03/2022 15:30,0,Actual,0,Actual
02/03/2022 16:00,0,Actual,0,Actual
02/03/2022 16:30,0,Actual,0,Actual
02/03/2022 17:00,0,Actual,0,Actual
02/03/2022 17:30,0,Actual,0,Actual
02/03/2022 18:00,0,Actual,0,Actual
02/03/2022 18:30,0,Actual,0,Actual
02/03/2022 19:00,0,Actual,0,Actual
02/03/2022 19:30,0,Actual,0,Actual
02/03/2022 20:00,0,Actual,0,Actual
02/03/2022 20:30,0,Actual,0,Actual
02/03/2022 21:00,0,Actual,0,Actual
02/03/2022 21:30,0,Actual,0,Actual
02/03/2022 22:00,0,Actual,0,Actual
02/03/2022 22:30,0,Actual,0,Actual
02/03/2022 23:00,0,Actual,0,Actual
02/03/2022 23:30,0,Actual,0,Actual
03/03/2022 00:00,0,Actual,0,Actual
03/03/2022 00:30,0,Actual,0,Actual
03/03/2022 01:00,0,Actual,0,Actual
03/03/2022 01:30,0,Actual,0,Actual
03/03/2022 02:00,0,Actual,0,Actual
03/03/2022 02:30,0,Actual,0,Actual
03/03/2022 03:00,0,Actual,0,Actual
03/03/2022 03:30,0,Actual,0,Actual
03/03/2022 04:00,0,Actual,0,Actual
03/03/2022 04:30,0,Actual,0,Actual
03/03/2022 05:00,0,Actual,0,Actual
03/03/2022 05:30,0,Actual,0,Actual
03/03/2022 06:00,0,Actual,0,Actual
03/03/2022 06:30,0,Actual,0,Actual
03/03/2022 07:00,0,Actual,0,Actual
03/03/2022 07:30,0,Actual,0,Actual
03/03/2022 08:00,0,Actual,0,Actual
03/03/2022 08:30,5.5,Actual,0,Actual
03/03/2022 09:00,21,Actual,0,Actual
03/03/2022 09:30,22.4,Actual,0,Actual
03/03/2022 10:00,3,Actual,0,Actual
03/03/2022 10:30,0.9,Actual,0,Actual
03/03/2022 11:00,8.9,Actual,0,Actual
03/03/2022 11:30,18.3,Actual,0,Actual
03/03/2022 12:00,2.1,Actual,0,Actual
03/03/2022 12:30,0,Actual,0,Actual
03/03/2022 13:00,12.5,Actual,0,Actual
03/03/2022 13:30,34.4,Actual,0,Actual
03/03/2022 14:00,0,Actual,0,Actual
03/03/2022 14:30,0,Actual,0,Actual
03/03/2022 15:00,0,Actual,0,Actual
03/03/2022 15:30,0,Actual,0,Actual
03/03/2022 16:00,0,Actual,0,Actual
03/03/2022 16:30,0,Actual,0,Actual
03/03/2022 17:00,0,Actual,0,Actual
03/03/2022 17:30,0,Actual,0,Actual
03/03/2022 18:00,0,Actual,0,Actual
03/03/2022 18:30,0,Actual,0,Actual
03/03/2022 19:00,0,Actual,0,Actual
03/03/2022 19:30,0,Actual,0,Actual
03/03/2022 20:00,0,Actual,0,Actual
03/03/2022 20:30,0,Actual,0,Actual
03/03/2022 21:00,0,Actual,0,Actual
03/03/2022 21:30,0,Actual,0,Actual
03/03/2022 22:00,0,Actual,0,Actual
03/03/2022 22:30,0,Actual,0,Actual
03/03/2022 23:00,0,Actual,0,Actual
03/03/2022 23:30,0,Actual,0,Actual
04/03/2022 00:00,0,Actual,0,Actual
04/03/2022 00:30,0,Actual,0,Actual
04/03/2022 01:00,0,Actual,0,Actual
04/03/2022 01:30,0,Actual,0,Actual
04/03/2022 02:00,0,Actual,0,Actual
04/03/2022 02:30,0,Actual,0,Actual
04/03/2022 03:00,0,Actual,0,Actual
04/03/2022 03:30,0,Actual,0,Actual
04/03/2022 04:00,0,Actual,0,Actual
04/03/2022 04:30,0,Actual,0,Actual
04/03/2022 05:00,0,Actual,0,Actual
04/03/2022 05:30,0,Actual,0,Actual
04/03/2022 06:00,0,Actual,0,Actual
04/03/2022 06:30,0,Actual,0,Actual
04/03/2022 07:00,0,Actual,0,Actual
04/03/2022 07:30,0,Actual,0,Actual
04/03/2022 08:00,0,Actual,0,Actual
04/03/2022 08:30,0,Actual,0,Actual
04/03/2022 09:00,0,Actual,0,Actual
04/03/2022 09:30,0,Actual,0,Actual
04/03/2022 10:00,0,Actual,0,Actual
04/03/2022 10:30,0,Actual,0,Actual
04/03/2022 11:00,0,Actual,0,Actual
04/03/2022 11:30,0,Actual,0,Actual
04/03/2022 12:00,0,Actual,0,Actual
04/03/2022 12:30,0,Actual,0,Actual
04/03/2022 13:00,0,Actual,0,Actual
04/03/2022 13:30,0,Actual,0,Actual
04/03/2022 14:00,0,Actual,0,Actual
04/03/2022 14:30,0,Actual,0,Actual
04/03/2022 15:00,0,Actual,0,Actual
04/03/2022 15:30,0,Actual,0,Actual
04/03/2022 16:00,0,Actual,0,Actual
04/03/2022 16:30,0,Actual,0,Actual
04/03/2022 17:00,0,Actual,0,Actual
04/03/2022 17:30,0,Actual,0,Actual
04/03/2022 18:00,0,Actual,0,Actual
04/03/2022 18:30,0,Actual,0,Actual
04/03/2022 19:00,0,Actual,0,Actual
04/03/2022 19:30,0,Actual,0,Actual
04/03/2022 20:00,0,Actual,0,Actual
04/03/2022 20:30,0,Actual,0,Actual
04/03/2022 21:00,0,Actual,0,Actual
04/03/2022 21:30,0,Actual,0,Actual
04/03/2022 22:00,0,Actual,0,Actual
04/03/2022 22:30,0,Actual,0,Actual
04/03/2022 23:00,0,Actual,0,Actual
04/03/2022 23:30,0,Actual,0,Actual
05/03/2022 00:00,0,Actual,0,Actual
05/03/2022 00:30,0,Actual,0,Actual
05/03/2022 01:00,0,Actual,0,Actual
05/03/2022 01:30,0,Actual,0,Actual
05/03/2022 02:00,0,Actual,0,Actual
05/03/2022 02:30,0,Actual,0,Actual
05/03/2022 03:00,0,Actual,0,Actual
05/03/2022 03:30,0,Actual,0,Actual
05/03/2022 04:00,0,Actual,0,Actual
05/03/2022 04:30,0,Actual,0,Actual
05/03/2022 05:00,0,Actual,0,Actual
05/03/2022 05:30,0,Actual,0,Actual
05/03/2022 06:00,0,Actual,0,Actual
05/03/2022 06:30,0,Actual,0,Actual
05/03/2022 07:00,0,Actual,0,Actual
05/03/2022 07:30,0,Actual,0,Actual
05/03/2022 08:00,0,Actual,0,Actual
05/03/2022 08:30,0,Actual,0,Actual
